2023-01-19 11:55:46.421  INFO [microservice1,,,] 12456 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 42 ms
2023-01-19 11:55:46.526  INFO [microservice1,60791f68cbeeac90,60791f68cbeeac90,true] 12456 --- [http-nio-8080-exec-1] ication$$EnhancerBySpringCGLIB$$d8d98390 : Inside method1
2023-01-19 11:55:46.750  INFO [microservice2,,,] 5008 --- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-19 11:55:46.751  INFO [microservice2,,,] 5008 --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-01-19 11:55:46.792  INFO [microservice2,,,] 5008 --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 40 ms
2023-01-19 11:55:46.866  INFO [microservice2,60791f68cbeeac90,e76226f08e6ed91a,true] 5008 --- [http-nio-8081-exec-1] ication$$EnhancerBySpringCGLIB$$93f2a6ad : Inside method2
2023-01-19 11:55:47.092  INFO [microservice3,,,] 3236 --- [http-nio-8082-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-19 11:55:47.093  INFO [microservice3,,,] 3236 --- [http-nio-8082-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-01-19 11:55:47.129  INFO [microservice3,,,] 3236 --- [http-nio-8082-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 36 ms
2023-01-19 11:55:47.207  INFO [microservice3,60791f68cbeeac90,84696f19dae98eff,true] 3236 --- [http-nio-8082-exec-1] ication$$EnhancerBySpringCGLIB$$2d273843 : Inside method3
2023-01-19 11:55:48.421  INFO [microservice4,,,] 15656 --- [http-nio-8083-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-01-19 11:55:48.423  INFO [microservice4,,,] 15656 --- [http-nio-8083-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-01-19 11:55:48.455  INFO [microservice4,,,] 15656 --- [http-nio-8083-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 32 ms
2023-01-19 11:55:48.537  INFO [microservice4,60791f68cbeeac90,c2a156cd5decfa5e,true] 15656 --- [http-nio-8083-exec-1] ication$$EnhancerBySpringCGLIB$$17b477d7 : Inside method4
2023-01-19 11:55:48.622  INFO [microservice3,60791f68cbeeac90,84696f19dae98eff,true] 3236 --- [http-nio-8082-exec-1] ication$$EnhancerBySpringCGLIB$$2d273843 : The response recieved by method3 is Hello World JavaInUse
2023-01-19 11:55:48.685  INFO [microservice2,60791f68cbeeac90,e76226f08e6ed91a,true] 5008 --- [http-nio-8081-exec-1] ication$$EnhancerBySpringCGLIB$$93f2a6ad : The response recieved by method2 is Hello World JavaInUse
2023-01-19 11:55:48.780  INFO [microservice1,60791f68cbeeac90,60791f68cbeeac90,true] 12456 --- [http-nio-8080-exec-1] ication$$EnhancerBySpringCGLIB$$d8d98390 : The response recieved by method1 is Hello World JavaInUse
2023-01-19 12:02:52.758  INFO [microservice1,acafb325913b42b9,acafb325913b42b9,true] 12456 --- [http-nio-8080-exec-3] ication$$EnhancerBySpringCGLIB$$d8d98390 : Inside method1
2023-01-19 12:02:52.769  INFO [microservice2,acafb325913b42b9,81c06df5ff93d3b7,true] 5008 --- [http-nio-8081-exec-3] ication$$EnhancerBySpringCGLIB$$93f2a6ad : Inside method2
2023-01-19 12:02:52.779  INFO [microservice3,acafb325913b42b9,21a6fccb4874c907,true] 3236 --- [http-nio-8082-exec-7] ication$$EnhancerBySpringCGLIB$$2d273843 : Inside method3
2023-01-19 12:02:53.800  INFO [microservice4,acafb325913b42b9,8bac6cd5099d024c,true] 15656 --- [http-nio-8083-exec-4] ication$$EnhancerBySpringCGLIB$$17b477d7 : Inside method4
2023-01-19 12:02:53.806  INFO [microservice3,acafb325913b42b9,21a6fccb4874c907,true] 3236 --- [http-nio-8082-exec-7] ication$$EnhancerBySpringCGLIB$$2d273843 : The response recieved by method3 is Hello World JavaInUse
2023-01-19 12:02:53.812  INFO [microservice2,acafb325913b42b9,81c06df5ff93d3b7,true] 5008 --- [http-nio-8081-exec-3] ication$$EnhancerBySpringCGLIB$$93f2a6ad : The response recieved by method2 is Hello World JavaInUse
2023-01-19 12:02:53.820  INFO [microservice1,acafb325913b42b9,acafb325913b42b9,true] 12456 --- [http-nio-8080-exec-3] ication$$EnhancerBySpringCGLIB$$d8d98390 : The response recieved by method1 is Hello World JavaInUse
2023-01-19 12:06:04.213  INFO [microservice1,39005c9354453c17,39005c9354453c17,true] 12456 --- [http-nio-8080-exec-8] ication$$EnhancerBySpringCGLIB$$d8d98390 : Inside method1
2023-01-19 12:06:04.222  INFO [microservice2,39005c9354453c17,7a1b16cc5e4aa9cd,true] 5008 --- [http-nio-8081-exec-5] ication$$EnhancerBySpringCGLIB$$93f2a6ad : Inside method2
2023-01-19 12:06:04.231  INFO [microservice3,39005c9354453c17,c33dcccc7b4eb682,true] 3236 --- [http-nio-8082-exec-4] ication$$EnhancerBySpringCGLIB$$2d273843 : Inside method3
2023-01-19 12:06:05.254  INFO [microservice4,39005c9354453c17,d97015cd965ddfd3,true] 15656 --- [http-nio-8083-exec-5] ication$$EnhancerBySpringCGLIB$$17b477d7 : Inside method4
2023-01-19 12:06:05.260  INFO [microservice3,39005c9354453c17,c33dcccc7b4eb682,true] 3236 --- [http-nio-8082-exec-4] ication$$EnhancerBySpringCGLIB$$2d273843 : The response recieved by method3 is Hello World JavaInUse
2023-01-19 12:06:05.264  INFO [microservice2,39005c9354453c17,7a1b16cc5e4aa9cd,true] 5008 --- [http-nio-8081-exec-5] ication$$EnhancerBySpringCGLIB$$93f2a6ad : The response recieved by method2 is Hello World JavaInUse
2023-01-19 12:06:05.270  INFO [microservice1,39005c9354453c17,39005c9354453c17,true] 12456 --- [http-nio-8080-exec-8] ication$$EnhancerBySpringCGLIB$$d8d98390 : The response recieved by method1 is Hello World JavaInUse
2023-01-19 12:23:46.570  INFO [microservice4,,,] 15656 --- [Thread-5] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2023-01-19 12:24:21.998  INFO [microservice2,,,] 5008 --- [Thread-5] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2023-01-19 12:24:46.223  INFO [microservice1,,,] 12456 --- [Thread-5] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2023-01-19 12:25:03.741  INFO [microservice3,,,] 3236 --- [Thread-5] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
